Date,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,,,,,,,,,,,,,,,,,,,
8:15:15 PM,2220,-16948.000000,992,174,59,149,,,,,,,,,,,,,,,,,,,
8:15:16 PM,2372,-17880.000000,1216,319,372,138,,,,,,,,,,,,,,,,,,,
8:15:17 PM,3640,-16736.000000,-60,78,-281,122,,,,,,,,,,,,,,,,,,,
8:15:18 PM,-1500,-16040.000000,-2076,166,-256,73,,,,,,,,,,,,,,,,,,,
8:15:19 PM,4344,-17144.000000,316,-293,-257,-275,,,,,,,,,,,,,,,,,,,
8:15:20 PM,-108,-16148.000000,-36,-73,668,156,,,,,,,,,,,,,,,,,,,
8:15:21 PM,4112,-15884.000000,1188,64,-466,-20,,,,,,,,,,,,,,,,,,,
8:15:22 PM,4944,-14344.000000,-100,-9,98,-445,,,,,,,,,,,,,,,,,,,
8:15:23 PM,1820,-16340.000000,552,-80,137,-19,,,,,,,,,,,,,,,,,,,
8:15:24 PM,4480,-16012.000000,-608,-45,-81,-1,,,,,,,,,,,,,,,,,,,
8:15:25 PM,628,-18372.000000,360,149,1077,81,,,,,,,,,,,,,,,,,,,
8:15:26 PM,72,-18108.000000,1452,-183,-584,47,,,,,,,,,,,,,,,,,,,
8:15:27 PM,4168,-15432.000000,1432,-133,32,-429,,,,,,,,,,,,,,,,,,,
8:15:28 PM,3588,-15876.000000,1304,421,-563,-49,,,,,,,,,,,,,,,,,,,
8:15:29 PM,2444,-17760.000000,1328,74,181,-142,,,,,,,,,,,,,,,,,,,
8:15:30 PM,5216,-18044.000000,1128,447,-72,88,,,,,,,,,,,,,,,,,,,
8:15:31 PM,4256,-18488.000000,1292,77,113,75,,,,,,,,,,,,,,,,,,,
8:15:32 PM,3328,-18060.000000,1456,-567,202,-301,,,,,,,,,,,,,,,,,,,
8:15:33 PM,-320,-17840.000000,1048,-394,139,-16,,,,,,,,,,,,,,,,,,,
8:15:34 PM,-2324,-16200.000000,396,-151,-470,172,,,,,,,,,,,,,,,,,,,
8:15:35 PM,-3640,-18004.000000,1200,412,-341,442,,,,,,,,,,,,,,,,,,,
8:15:36 PM,4140,-16184.000000,892,225,430,-178,,,,,,,,,,,,,,,,,,,
8:15:37 PM,-1692,-15660.000000,-1176,-111,-175,46,,,,,,,,,,,,,,,,,,,
8:15:38 PM,-2064,-15644.000000,-2076,438,133,493,,,,,,,,,,,,,,,,,,,
8:15:39 PM,-892,-16416.000000,-2144,2,-332,-73,,,,,,,,,,,,,,,,,,,
8:15:40 PM,2052,-17524.000000,1068,-153,-55,-189,,,,,,,,,,,,,,,,,,,
8:15:41 PM,3040,-15104.000000,-16,-428,1331,-686,,,,,,,,,,,,,,,,,,,
8:15:42 PM,932,-16088.000000,904,-41,-434,51,,,,,,,,,,,,,,,,,,,
8:15:43 PM,-1100,-15796.000000,-556,26,-188,43,,,,,,,,,,,,,,,,,,,
8:15:44 PM,-1856,-15908.000000,-1996,488,368,237,,,,,,,,,,,,,,,,,,,
8:15:45 PM,-552,-16272.000000,-1620,-40,665,-69,,,,,,,,,,,,,,,,,,,
